,rawKAC,permutationScore
SGK3,-1.62704257351325,98.3
TNIK,-2.78799234151465,98.5
MAPK13,-70.1036232763119,98.6
GSK3alpha,-776.274618054581,99
MAPK8,-497.495486512985,99.2
MAPK10,-29.2653431475135,99.4
PKD3,1.95784248349304,99.8
MAPK1,-773.648291037142,99.9
CDK1,-1136.38991687255,100
GRK6,-7.96173234220846,100
MAPK12,-126.773504819841,100
MAPK9,-19.4872752975284,100
MARK1,31.5366962320677,100
MARK3,-9.84939653004495,100
MARK4,-74.3695533436122,100
PKCdelta,-304.106825140835,100
SGK1,-66.7746502067466,100
