,rawKAC,permutationScore
MARK3,20.073644401968,92.8
SGK1,33.5353283181305,93.3
CK2a2,-2.49128485980782,93.9
PKG2cGKII,11.7700506431227,94.2
CaMKIdelta,43.4348604967872,94.7
PKCiota,51.2733812384627,94.8
HIPK1,23.0156996155071,96.2
ACTR2B,9.0327847936628,96.8
ACTR2,13.2033664410094,97.9
Pim2,8.35849937571545,98.1
PKCbeta,-17.3382482263444,98.7
CK1alpha,-21.9343319365725,99.6
MAP2K6,86.5981564084874,99.8
CK1gamma1,29.8934970728906,100
