,rawKAC,permutationScore
DAPK1,3.44995476879976,87.3
HIPK2,41.3524030711979,88.5
DMPK2,55.4564863529837,89.8
SGK1,33.9673302273416,91.7
CDK3,11.8666736464056,93.6
EIF2AK2,25.5844170863959,95.7
CDK4,54.5536188094738,96.1
ACTR2,15.3518586180247,96.3
CK2alpha,477.905401852049,98.2
FRK,4.82591251481298,98.2
MARK3,25.4520734464756,98.8
CK1alpha,150.798806013516,99.3
CK2a2,169.240795058064,99.7
IKKbeta,52.952216001086,100
