,rawKAC,permutationScore
HIPK1,13.1641970602917,99.5
PAK1,-65.495257153374,99.7
MAP2K6,37.0970529960538,99.8
CaMKIIgamma,25.4940365894476,99.9
CaMKIIalpha,11.117943717695,100
CaMKIIbeta,36.0403402611448,100
CaMKIIdelta,23.2409321484935,100
DMPK1,76.1820480701123,100
PKCalpha,11.6974255875276,100
PKCbeta,-3.96666066459913,100
PKCzeta,13.0507432975628,100
PKG1cGKI,13.3190625284263,100
ROCK2,87.8916151057923,100
