,rawKAC,permutationScore
MAP2K5,7.86714265904653,89.3
DMPK2,55.4564863529837,90.2
DAPK1,3.37992844772715,90.4
SGK1,31.5341012294257,91.9
ACTR2B,6.54762173011668,92.6
CDK2,79.6596230268893,92.8
EIF2AK2,28.9340277333159,94.6
CDK3,7.74548919028836,96.8
HIPK2,61.9216126766762,97
ACTR2,13.4419117543022,98.2
MARK3,25.4520734464756,98.6
CK2alpha,536.893329810812,99.7
IKKbeta,52.952216001086,99.9
CK1alpha,128.397302318858,100
CK2a2,201.663428026981,100
